"Date","Year","Quarter","FY","QFY","Month","EXP_DDEV_AGRO","EXP_DDEV_MID","EXP_DDEV_SPD","EXP_DDEV_MAN","EXP_DDEV_TOD","EXP_DDEV_NECLW","EXP_DDEV_PSD","EXP_DDEV_SED","EXP_DDEV_ITIS","EXP_DDEV_SUD","EXP_DDEV_DIT","EXP_DDEV_HCD","EXP_DDEV_TTD","EXP_DDEV_PST","EXP_DDEV_CMC","EXP_DDEV_GOS","EXP_DDEV_DPI","EXP_DDEV_RBD","EXP_DDEV_ADJ","EXP_DDEV_LEG","EXP_DDEV_LGOV","EXP_DDEV_I","EXP_DDEV_I_DOM","EXP_DDEV_I_EXT","EXP_DDEV_CEN_TOT","EXP_DDEV_LGP_TOT","EXP_DDEV_I_TOT","EXP_DDEV"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,1.91433,0,,1.91433
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,4.79593,0,,4.79593
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,10.51327,0,,10.51327
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,5.23378,0,,5.23378
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,4.12618,0,,4.12618
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.78036,0,,9.78036
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,4.97574,0,,4.97574
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.41822,0,,8.41822
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.40604,0,,11.40604
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.98147,0,,8.98147
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,6.59697,0,,6.59697
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,29.03276,0,,29.03276
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,1.331952,0,,1.331952
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.536645,0,,9.536645
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,12.813831,0,,12.813831
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.371502,0,,8.371502
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,6.080069,0,,6.080069
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,14.209258,0,,14.209258
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.849517,0,,8.849517
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,6.340613,0,,6.340613
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.035811,0,,11.035811
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,4.95625,0,,4.95625
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.101335,0,,11.101335
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,50.040628,0,,50.040628
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,0.813633666666666,2.42833333333333,,3.241967
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.3064776666667,2.42833333333333,,18.734811
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.63880366666667,2.42833333333333,,11.067137
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,4.74906566666667,2.42833333333333,,7.177399
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.9591716666667,2.42833333333333,,18.387505
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.2320006666667,2.42833333333333,,20.660334
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,9.88671466666667,2.42833333333333,,12.315048
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.2951806666667,2.42833333333333,,15.723514
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,18.1126646666667,2.42833333333333,,20.540998
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,11.5994776666667,2.42833333333333,,14.027811
2000-05-01,2000,"Q2","1999/00","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.5052671666667,2.42833333333333,,23.9336005
2000-06-01,2000,"Q2","1999/00","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,94.6787766086667,2.42833333333333,,97.107109942
2000-07-01,2000,"Q3","2000/01","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6.409466,,6.409466
2000-08-01,2000,"Q3","2000/01","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,12.026088,9.97728,,22.003368
2000-09-01,2000,"Q3","2000/01","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.763151,5.1886,,20.951751
2000-10-01,2000,"Q4","2000/01","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,16.943557,13.91994,,30.863497
2000-11-01,2000,"Q4","2000/01","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,15.878694,14.94391,,30.822604
2000-12-01,2000,"Q4","2000/01","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.400334,0,,21.400334
2001-01-01,2001,"Q1","2000/01","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,13.336375,12.2142,,25.550575
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,8.947317362,15.17721,,24.124527362
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.312221,4.3045,,25.616721
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,10.513966,5.43,,15.943966
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,29.265005,7.06,,36.325005
