"Date","Year","Quarter","FY","QFY","Month","EXP_IDPD_AGRO","EXP_IDPD_MID","EXP_IDPD_SPD","EXP_IDPD_MAN","EXP_IDPD_TOD","EXP_IDPD_NECLW","EXP_IDPD_PSD","EXP_IDPD_SED","EXP_IDPD_ITIS","EXP_IDPD_SUD","EXP_IDPD_DIT","EXP_IDPD_HCD","EXP_IDPD_TTD","EXP_IDPD_PST","EXP_IDPD_CMC","EXP_IDPD_GOS","EXP_IDPD_DPI","EXP_IDPD_RBD","EXP_IDPD_ADJ","EXP_IDPD_LEG","EXP_IDPD_LGOV","EXP_IDPD_I","EXP_IDPD_I_DOM","EXP_IDPD_I_EXT","EXP_IDPD_CEN_TOT","EXP_IDPD_LGP_TOT","EXP_IDPD_I_TOT","EXP_IDPD"
1997-07-01,1997,"Q3","1997/98","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-08-01,1997,"Q3","1997/98","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-09-01,1997,"Q3","1997/98","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-10-01,1997,"Q4","1997/98","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-11-01,1997,"Q4","1997/98","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1997-12-01,1997,"Q4","1997/98","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-01-01,1998,"Q1","1997/98","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-02-01,1998,"Q1","1997/98","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-03-01,1998,"Q1","1997/98","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-04-01,1998,"Q2","1997/98","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-05-01,1998,"Q2","1997/98","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-06-01,1998,"Q2","1997/98","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,35.3239583333333,0,0,35.3239583333333
1998-07-01,1998,"Q3","1998/99","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-08-01,1998,"Q3","1998/99","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-09-01,1998,"Q3","1998/99","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-10-01,1998,"Q4","1998/99","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-11-01,1998,"Q4","1998/99","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1998-12-01,1998,"Q4","1998/99","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-01-01,1999,"Q1","1998/99","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-02-01,1999,"Q1","1998/99","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-03-01,1999,"Q1","1998/99","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-04-01,1999,"Q2","1998/99","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-05-01,1999,"Q2","1998/99","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-06-01,1999,"Q2","1998/99","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,38.0539326598244,0,0,38.0539326598244
1999-07-01,1999,"Q3","1999/00","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
1999-08-01,1999,"Q3","1999/00","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
1999-09-01,1999,"Q3","1999/00","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
1999-10-01,1999,"Q4","1999/00","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
1999-11-01,1999,"Q4","1999/00","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
1999-12-01,1999,"Q4","1999/00","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
2000-01-01,2000,"Q1","1999/00","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
2000-02-01,2000,"Q1","1999/00","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
2000-03-01,2000,"Q1","1999/00","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
2000-04-01,2000,"Q2","1999/00","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,42.6083333333333,0,0,42.6083333333333
